token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
13251,SAKUMA-EQ,SAKUMA,,-1,1,,NSE,1
13352,MALUPAPER-EQ,MALUPAPER,,-1,1,,NSE,1
13359,KFINTECH-EQ,KFINTECH,,-1,1,,NSE,10
13496,PFOCUS-EQ,PFOCUS,,-1,1,,NSE,1
13528,GMRAIRPORT-EQ,GMRAIRPORT,,-1,1,,NSE,1
13538,TECHM-EQ,TECHM,,-1,1,,NSE,10
13587,ACE-EQ,ACE,,-1,1,,NSE,10
13611,IRCTC-EQ,IRCTC,,-1,1,,NSE,5
13620,ANANTRAJ-EQ,ANANTRAJ,,-1,1,,NSE,5
13701,GOLDKART-ST,GOLDKART,,-1,625,,NSE,5
13702,VISHWARAJ-EQ,VISHWARAJ,,-1,1,,NSE,1
13720,JHS-EQ,JHS,,-1,1,,NSE,1
13731,CMNL-SM,CMNL,,-1,750,,NSE,5
13735,GLOBALVECT-EQ,GLOBALVECT,,-1,1,,NSE,1
13821,RUCHIRA-EQ,RUCHIRA,,-1,1,,NSE,1
13826,SOBHA-EQ,SOBHA,,-1,1,,NSE,10
13859,VENUSREM-EQ,VENUSREM,,-1,1,,NSE,5
13945,PRAENG-BE,PRAENG,,-1,1,,NSE,1
13951,PARACABLES-EQ,PARACABLES,,-1,1,,NSE,1
13976,TANLA-EQ,TANLA,,-1,1,,NSE,5
13987,ABSLBANETF-EQ,ABSLBANETF,,-1,1,,NSE,1
1415,GLOBAL-EQ,GLOBAL,,-1,1,,NSE,1
14194,NINSYS-EQ,NINSYS,,-1,1,,NSE,5
14223,TIIL-EQ,TIIL,,-1,1,,NSE,10
14230,HDFCBSE500-EQ,HDFCBSE500,,-1,1,,NSE,1
14255,REDINGTON-EQ,REDINGTON,,-1,1,,NSE,5
14260,PGIL-EQ,PGIL,,-1,1,,NSE,10
14361,APOLLOPIPE-EQ,APOLLOPIPE,,-1,1,,NSE,5
14411,SRIVASAVI-SM,SRIVASAVI,,-1,1000,,NSE,5
14423,LAOPALA-EQ,LAOPALA,,-1,1,,NSE,1
14440,NAHARSPING-EQ,NAHARSPING,,-1,1,,NSE,1
